row,brand,day,value,variation,sim_num,bariation,statistic
"2","all",91,141,"active",0,"None","simulation"
"3","all",91,6,"decided",0,"None","simulation"
"34","all",92,144,"active",0,"None","simulation"
"35","all",92,10,"decided",0,"None","simulation"
"66","all",93,145,"active",0,"None","simulation"
"67","all",93,14,"decided",0,"None","simulation"
"98","all",94,141,"active",0,"None","simulation"
"99","all",94,19,"decided",0,"None","simulation"
"130","all",95,144,"active",0,"None","simulation"
"131","all",95,16,"decided",0,"None","simulation"
"162","all",96,144,"active",0,"None","simulation"
"163","all",96,20,"decided",0,"None","simulation"
"194","all",97,146,"active",0,"None","simulation"
"195","all",97,18,"decided",0,"None","simulation"
"226","all",98,140,"active",0,"None","simulation"
"227","all",98,20,"decided",0,"None","simulation"
"258","all",99,138,"active",0,"None","simulation"
"259","all",99,26,"decided",0,"None","simulation"
"290","all",100,135,"active",0,"None","simulation"
"291","all",100,32,"decided",0,"None","simulation"
"322","all",101,131,"active",0,"None","simulation"
"323","all",101,33,"decided",0,"None","simulation"
"354","all",102,127,"active",0,"None","simulation"
"355","all",102,32,"decided",0,"None","simulation"
"386","all",103,126,"active",0,"None","simulation"
"387","all",103,29,"decided",0,"None","simulation"
"418","all",104,123,"active",0,"None","simulation"
"419","all",104,38,"decided",0,"None","simulation"
"450","all",105,119,"active",0,"None","simulation"
"451","all",105,39,"decided",0,"None","simulation"
"482","all",106,117,"active",0,"None","simulation"
"483","all",106,44,"decided",0,"None","simulation"
"514","all",107,117,"active",0,"None","simulation"
"515","all",107,47,"decided",0,"None","simulation"
"546","all",108,120,"active",0,"None","simulation"
"547","all",108,45,"decided",0,"None","simulation"
"578","all",109,123,"active",0,"None","simulation"
"579","all",109,44,"decided",0,"None","simulation"
"610","all",110,129,"active",0,"None","simulation"
"611","all",110,45,"decided",0,"None","simulation"
"642","all",111,138,"active",0,"None","simulation"
"643","all",111,41,"decided",0,"None","simulation"
"674","all",112,135,"active",0,"None","simulation"
"675","all",112,46,"decided",0,"None","simulation"
"706","all",113,137,"active",0,"None","simulation"
"707","all",113,50,"decided",0,"None","simulation"
"738","all",114,139,"active",0,"None","simulation"
"739","all",114,54,"decided",0,"None","simulation"
"770","all",115,141,"active",0,"None","simulation"
"771","all",115,52,"decided",0,"None","simulation"
"802","all",116,140,"active",0,"None","simulation"
"803","all",116,54,"decided",0,"None","simulation"
"834","all",117,144,"active",0,"None","simulation"
"835","all",117,49,"decided",0,"None","simulation"
"866","all",118,135,"active",0,"None","simulation"
"867","all",118,59,"decided",0,"None","simulation"
"898","all",119,137,"active",0,"None","simulation"
"899","all",119,54,"decided",0,"None","simulation"
"930","all",120,142,"active",0,"None","simulation"
"931","all",120,13,"decided",0,"None","simulation"
"962","all",121,137,"active",0,"None","simulation"
"963","all",121,24,"decided",0,"None","simulation"
"994","all",122,137,"active",0,"None","simulation"
"995","all",122,21,"decided",0,"None","simulation"
"1026","all",123,142,"active",0,"None","simulation"
"1027","all",123,19,"decided",0,"None","simulation"
"1058","all",124,136,"active",0,"None","simulation"
"1059","all",124,23,"decided",0,"None","simulation"
"1090","all",125,137,"active",0,"None","simulation"
"1091","all",125,27,"decided",0,"None","simulation"
"1122","all",126,136,"active",0,"None","simulation"
"1123","all",126,27,"decided",0,"None","simulation"
"1154","all",127,124,"active",0,"None","simulation"
"1155","all",127,40,"decided",0,"None","simulation"
"1186","all",128,126,"active",0,"None","simulation"
"1187","all",128,45,"decided",0,"None","simulation"
"1218","all",129,128,"active",0,"None","simulation"
"1219","all",129,49,"decided",0,"None","simulation"
"1250","all",130,133,"active",0,"None","simulation"
"1251","all",130,49,"decided",0,"None","simulation"
"1282","all",131,132,"active",0,"None","simulation"
"1283","all",131,49,"decided",0,"None","simulation"
"1314","all",132,134,"active",0,"None","simulation"
"1315","all",132,47,"decided",0,"None","simulation"
"1346","all",133,138,"active",0,"None","simulation"
"1347","all",133,45,"decided",0,"None","simulation"
"1378","all",134,135,"active",0,"None","simulation"
"1379","all",134,49,"decided",0,"None","simulation"
"1410","all",135,136,"active",0,"None","simulation"
"1411","all",135,54,"decided",0,"None","simulation"
